,Bat1,Runs,BF,SR,4s,6s,Opposition,Ground,Start Date,ODI_NO
239,4,4,4,100.0,1,0, West Indies,Chennai,15 Dec 2019,ODI # 4221
240,0,0,1,0.0,0,0, West Indies,Visakhapatnam,18 Dec 2019,ODI # 4222
241,85,85,81,104.93,9,0, West Indies,Cuttack,22 Dec 2019,ODI # 4223
242,16,16,14,114.28,0,1, Australia,Wankhede,14 Jan 2020,ODI # 4231
243,78,78,76,102.63,6,0, Australia,Rajkot,17 Jan 2020,ODI # 4232
244,89,89,91,97.8,8,0, Australia,Bengaluru,19 Jan 2020,ODI # 4233
245,51,51,63,80.95,6,0, New Zealand,Hamilton,5 Feb 2020,ODI # 4235
246,15,15,25,60.0,1,0, New Zealand,Auckland,8 Feb 2020,ODI # 4239
247,9,9,12,75.0,0,1, New Zealand,Mount Maunganui,11 Feb 2020,ODI # 4243
248,21,21,21,100.0,2,1, Australia,Sydney,27 Nov 2020,ODI # 4265
249,89,89,87,102.29,7,2, Australia,Sydney,29 Nov 2020,ODI # 4266
250,63,63,78,80.76,5,0, Australia,Canberra,2 Dec 2020,ODI # 4267
251,56,56,60,93.33,6,0, England,Pune,23 Mar 2021,ODI # 4281
252,66,66,79,83.54,3,1, England,Pune,26 Mar 2021,ODI # 4283
253,7,7,10,70.0,1,0, England,Pune,28 Mar 2021,ODI # 4284
254,51,51,63,80.95,3,0, South Africa,Paarl,19 Jan 2022,ODI # 4344
255,0,0,5,0.0,0,0, South Africa,Paarl,21 Jan 2022,ODI # 4346
256,65,65,84,77.38,5,0, South Africa,Cape Town,23 Jan 2022,ODI # 4349
257,8,8,4,200.0,2,0, West Indies,Ahmedabad,6 Feb 2022,ODI # 4353
258,18,18,30,60.0,3,0, West Indies,Ahmedabad,9 Feb 2022,ODI # 4355
259,0,0,2,0.0,0,0, West Indies,Ahmedabad,11 Feb 2022,ODI # 4356
260,16,16,25,64.0,3,0, England,Lord's,14 Jul 2022,ODI # 4428
261,17,17,22,77.27,3,0, England,Manchester,17 Jul 2022,ODI # 4433
262,9,9,15,60.0,1,0, Bangladesh,Mirpur,4 Dec 2022,ODI # 4493
263,5,5,6,83.33,1,0, Bangladesh,Mirpur,7 Dec 2022,ODI # 4496
264,113,113,91,124.17,11,2, Bangladesh,Chattogram,10 Dec 2022,ODI # 4499
265,113,113,87,129.88,12,1, Sri Lanka,Guwahati,10 Jan 2023,ODI # 4501
266,4,4,9,44.44,1,0, Sri Lanka,Eden Gardens,12 Jan 2023,ODI # 4503
267,166*,166,110,150.9,13,8, Sri Lanka,Thiruvananthapuram,15 Jan 2023,ODI # 4505
268,8,8,10,80.0,1,0, New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
269,11,11,9,122.22,2,0, New Zealand,Raipur,21 Jan 2023,ODI # 4509
270,36,36,27,133.33,3,1, New Zealand,Indore,24 Jan 2023,ODI # 4511
